time Nt LCL median UCL
0 14034503.992087 13073338.1848561 13688262.8783359 14127208.596011
1000 14470083.4207136 13570596.2182569 14199548.9976101 14524533.803462
2000 14923206.4205223 13985128.0858002 14720657.2108415 15077585.4406811
3000 15394600.3159951 14414000.6580323 15181814.8935497 15718225.088829
4000 15885007.3790331 14862149.128297 15779386.8505434 16398477.2217771
5000 16395181.6858253 15325921.28968 16349067.3318834 17121477.9467033
6000 16925885.1868496 15756038.2734542 16947865.9437025 17890656.1348181
7000 17477882.864003 16202609.6662755 17577607.888987 18756757.7632475
8000 18051936.8342391 16666369.9287637 18240242.625546 19807828.4670606
9000 18648799.2440548 17148085.8309572 18949250.8100365 20960848.4764563
10000 19269203.7841635 17648557.2140852 19721437.2539439 22213894.1159427
11000 19913855.639357 18168617.6246843 20488093.5270641 23578338.268846
12000 20583419.6757696 18709134.7859631 21298697.495973 25067114.7463267
13000 21278506.6576589 19271010.8649178 22156533.4421835 26694958.3230168
14000 21999657.2799351 19855182.4862757 23065685.0170825 28478681.8686981
15000 22747323.8028877 20462620.435748 24038659.7997629 30437494.6734696
16000 23521849.0842701 21017980.6223662 25069360.1299463 32593365.2965459
17000 24323442.8239687 21584800.6314468 26161948.0598046 34971430.5044517
18000 25152154.8713313 22168300.1703285 27320912.8976128 37600448.4576199
19000 26007845.4987874 22768706.195975 28551096.3518604 40513288.2568593
20000 26890152.6220495 23386205.8462636 29857719.4583451 43747437.7521931
21000 27798456.0516303 24020940.0280438 31246411.5460802 47345494.8738616
22000 28731838.9973643 24672996.4279622 32723241.6332741 51355581.3582765
23000 29689047.2214324 25342401.9289033 34315767.3786848 55831576.9598459
24000 30668446.4494211 26029114.4201937 36023191.3056771 60833010.8914641
25000 31667978.9048022 26733013.9960962 37852819.8221197 66424357.9090415
26000 32685120.1286933 27453893.5445954 39815747.1061442 72673361.9735666
27000 33716837.5786261 28191448.7370651 41924260.2743771 79647847.9798636
28000 34759552.8566964 28945267.439087 44191987.3259225 87410292.4903159
29000 35809109.7815234 29714818.5734565 46634067.1343217 96009250.366096
30000 36860750.864576 30499440.4782345 49267345.9992052 105466680.226466
31000 37909105.0456598 31298328.8156251 52110606.6448731 115760484.166802
32000 38948189.742284 32110524.1015876 55184837.4719118 126802511.586032
33000 39971430.3238514 32934898.9416715 58513552.5612003 138414286.773304
34000 40971699.9810462 33770145.0760825 62123176.7230393 150306040.395598
35000 41941382.5719289 34614760.3572094 66043515.2325338 162068721.062444
36000 42872460.3465594 35467035.8069632 70308335.4231395 173191418.248715
37000 43756627.4570899 36325042.9309577 74956097.87569 183114133.751316
38000 44585428.8538895 37186621.5040247 80030889.6761766 191314354.242854
39000 45350422.5913042 38049368.0895493 85583632.5999948 206332452.940002
40000 46043361.8036337 38910625.6168254 90094784.0333992 223936683.540848
41000 46656390.7919339 39767474.4193931 93294492.7914615 241944354.437884
42000 47182247.952945 40616725.2361232 96249908.2712857 259835087.226491
43000 47614466.8742062 41454914.7975557 98912261.9030585 276776088.872617
44000 47947566.0068415 42278304.7624022 101240233.037129 291593742.335739
45000 48177217.0750919 43082884.9293771 103201689.987598 307374754.621633
46000 48300382.8985248 43864381.8187792 104774340.599929 320578097.515943
47000 48315416.6168735 44618273.8809691 105945251.823749 328416273.349045
48000 48222116.3511091 45339814.7217462 106735406.401814 330650833.313219
49000 48021731.9453133 46024065.8059709 103326240.956432 327941232.613976
50000 47716923.3721829 46665940.0716845 101457858.409486 321708722.946499
51000 47311673.364354 47260257.7141929 100984907.344195 332892089.481619
52000 46811159.5620971 47801815.0409602 100195879.305097 367478212.750945
53000 46221593.6888492 47381050.7010654 99106456.7811539 410336966.175874
54000 45550036.7932414 46099033.5272591 97731883.1252146 463567650.817992
55000 44804200.3352042 44921474.8354954 96764095.128895 529262317.033117
56000 43992242.8466792 43832741.4966463 97485203.7146283 609115638.293531
57000 43122571.153155 42818492.9737117 97840493.3561801 703566624.122179
58000 42203653.8534275 41865941.7893734 97828006.419274 810233956.685183
59000 41243853.1096917 40963929.8587611 97454589.8027088 921701527.899872
60000 40251278.9926285 38976672.7992181 94914381.4062357 1023706671.76886
61000 39233668.8325832 36757678.9968955 91770460.9108745 1097401690.31187
62000 38198292.3890053 34739482.6654606 88641721.323741 1123379529.04203
63000 37151882.2630719 32906460.3645103 85553412.047612 1093181368.73272
64000 36100587.8953933 31310405.0508882 82291136.2162315 1015159278.96183
65000 35049950.7250881 29921798.4196718 77641605.8949346 908348817.201365
66000 34004897.620706 28699434.8244154 72321324.3735843 792471010.780269
67000 32969749.4890235 27595516.2352382 67724571.052624 681494684.642188
68000 31963690.9559777 26292117.6713331 63766586.9990514 585951026.713731
69000 31042016.2328146 25141710.2798165 60321486.0347593 507035678.622833
70000 30200490.2970306 24120336.4734364 57295094.3958145 441722307.674024
71000 29430438.347584 23208863.1728114 54615418.0553354 387547361.377753
72000 28724449.7828498 22391831.5666609 52226389.7573943 342643421.650807
73000 28076159.4021653 21656619.0106367 50083640.5387528 304926277.136698
74000 27480072.7696217 20992820.818268 48151564.2146644 273041635.567506
75000 26931425.6997582 20391787.4380051 46401232.3461875 245912320.866655
76000 26426070.3535518 19846273.2841455 44808883.2415359 222681524.717556
77000 25960382.267438 19350167.0239372 43354807.3057391 202665930.513697
78000 25531183.983666 18898282.118616 42022511.6301478 185318302.357778
79000 25135681.9476657 18486192.504113 40798084.8948408 170198150.562405
80000 24771414.084639 18110102.4862264 39669708.3146027 156948923.99006
81000 24436206.0315015 17766742.8516088 38627274.6344074 145280331.23567
82000 24128134.4299652 17453287.2693224 37662088.1366598 134954633.836222
83000 23845496.0166074 17167284.5458305 36786608.2683303 125775994.272281
84000 23586781.5012784 16906603.3772813 36251948.3489237 117582167.734988
85000 23350653.4244649 16669387.037068 35753079.7085913 110237992.981974
86000 23135927.340742 16454016.0262201 35287539.2951596 103630267.370079
87000 22941555.7992215 16259077.1562744 34853130.8537868 97663690.5553326
88000 22766614.6904706 16083337.868941 34447891.979621 92257636.7687732
89000 22610291.6083715 15925724.8525418 34070066.1776275 87343572.5444064
90000 22471875.9391637 15785306.2122733 33718079.0761877 82862979.7559248
91000 22350750.4417339 15661276.6046005 33390518.1058462 78765676.2763784
92000 22246384.1256675 15552944.8663783 33086115.0845412 75008451.1434367
93000 22158326.2686257 15459723.7646187 32803731.2538225 71553949.7706705
94000 22086201.4438249 15381121.5691715 32542344.3929882 68522308.6784035
95000 22029705.4530109 15316735.2124894 32301037.7043288 67295312.8836394
96000 21988602.0813229 15266244.8515647 32078990.2162557 66129381.1951065
97000 21962720.6086352 15229409.6897532 31875468.4946919 65018463.4951598
98000 21951954.0280155 15206064.9526551 31689819.4888033 63957261.3749806
99000 21956257.9363996 15196119.944255 31521464.3665623 62941122.173722
1e+05 21975650.0759348 15199557.1385558 31369893.2200399 61965949.7364856
101000 22010210.5171285 15216432.2892671 31234660.5407162 61028128.97234
102000 22060082.4873373 15246875.5668765 31115381.3822914 60124461.8496097
103000 22125473.8606488 15291093.759797 31011728.1431003 59252112.9075569
